num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks,velocity_above,velocity_below,exp_decay,spread,cluster_id
25553.0,3.3552573,1.0,1.3678651,2.9314492,754.0,1.0,314.0,,3.9347055e-05,14.0625,,,0.1257778,0.0014088366,0.0,15.8,20.421114,3.0187385,5.0152965,76.3863,2.5731776,1.1148956,0.038422786,0.15023753,0.03066604,0.00047999568,-0.6787164,0.00028999738,56267.617,-21233.486,2.0,2.0,268.03482,,,160.0,10
17359.0,2.2793374,1.0,0.7288985,1.2299806,146.0,1.0,82.0,,0.00049920793,11.71875,,,0.063252494,0.00040324903,0.0,11.8,,,,77.335464,2.4113822,1.6899016,0.10179393,0.38123515,0.01954797,0.0010833236,-0.82153255,0.0019699822,35396.637,-17275.76,5.0,2.0,,,,140.0,11
23741.0,3.117331,1.0,2.375553,1.1305,251.0,1.0,96.0,,3.4938952e-05,7.03125,,,0.07316457,0.0005054547,0.0,14.6,18.219677,2.3038685,2.0607934,71.05986,0.17411853,4.18266,0.20814934,0.9345,0.008774038,0.0003833299,-0.47622845,0.001516653,35277.066,-4961.795,2.0,2.0,,,,80.0,12
12258.0,1.6095465,0.9285714,2.7056031,17.300377,1024.0,1.0,409.0,,6.793276e-05,25.78125,,,0.34671235,0.017457986,8.1579376e-05,9.2,,,,66.04679,5.261579,1.4352914,0.0077907047,0.15617578,0.029595992,0.00048332897,-0.28164124,0.00028999738,102341.55,-7035.022,2.0,1.0,,,,160.0,13
6718.0,0.8821124,1.0,1.0827808,0.89998406,16.0,1.0,10.0,,3.8621125e-05,11.71875,,,0.14141114,0.0013396845,0.0,4.6,,,,81.49139,1.8882596,1.80618,0.08676998,0.40083134,0.01787765,0.0005066621,-0.44537058,0.0015233196,39792.49,-2955.5398,3.0,2.0,,,,120.0,14
3947.0,0.518264,0.97619045,1.8094311,4.399713,27.0,1.0,11.0,,0.00095671887,18.75,,,0.18343045,0.0022802127,0.0,2.98,,,,72.43335,3.316649,1.179776,0.041113637,0.16923991,0.031997077,0.0005766615,-0.3676324,0.0003133305,60802.996,-6446.1626,2.0,2.0,,,0.041664094,120.0,15
7257.0,0.9528862,0.97619045,5.890993,15.087766,313.0,1.0,142.0,,3.5659712e-05,18.75,,,0.2944743,0.008819072,0.0,4.6,,,,2033.841,0.00082379393,7.6619105,0.18415365,0.998,0.0065,0.0004033297,-0.42493716,0.0002866641,99099.41,-6877.9097,2.0,1.0,,,,160.0,16
15567.0,2.0440373,1.0,4.233547,0.010475746,1.0,0.0158392,1.0,0.025,4.1876625e-05,44.53125,,,0.030513266,6.4238455e-05,0.0,5.4,16.96139,2.2343667,3.7213504,167.21967,0.022171993,4.856066,0.1366319,0.7845,0.01902439,0.00025999767,-0.51408625,0.00014333204,415051.1,-40290.39,1.0,1.0,,1122.7867,0.024351992,100.0,17
339.0,0.044512667,0.6904762,5.9317956,0.0,0.0,0.0,0.0,,,60.9375,,,0.038348082,0.0,0.0,0.2,,,,159.00978,0.013541954,5.60613,0.13388708,0.7758112,0.0071234736,0.00028999738,-0.33576876,0.00017666508,498569.78,-32171.342,1.0,1.0,416.42108,,0.029972281,60.0,18
5260.0,0.6906685,0.984127,9.210832,0.0,0.0,0.0,0.0,0.055,0.0006056633,63.28125,,,0.02851711,0.0,0.0,2.8,,,,123.87773,0.18429789,4.807376,0.07525448,0.4925,0.0045552813,0.00042666282,-0.20361148,0.00013333213,536742.0,-27766.902,1.0,1.0,1504.8485,956.725,0.039194033,80.0,19
