,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate
237,473.0,0.06281043978549015,0.904,5.411128,0.0,0.0,0.0,0.0,,,49.21875,,,0.046511627906976744,0.0,0.0,0.4,,,,68.44168217023797,6.0744232140381955,2.600800740408224,0.06950598933205412,0.2603734439834025,0.005687058100215186
238,15809.0,2.0993028384118686,1.0,5.3163285,0.9541636292761054,95.0,1.0,53.0,,3.8611866160005183e-05,35.15625,0.3628985285758972,0.23269260674715042,0.03573913593522677,0.0003162755392497944,0.0,4.8,19.494902446625474,2.4338910358301153,3.8155168992356394,77.86481461422186,3.481735970367501,2.5678865805236044,0.08875260989089835,0.3235294117647059,0.00810672139558748
239,6120.0,0.8126847600152215,0.888,13.959239,0.067020120982457,1.0,0.10616677869450253,1.0,0.145,0.0002577928263583743,96.09375,,,0.043954248366013075,0.0001633986928104575,0.0,3.4,,,,123.56946464248456,0.11052529227785463,6.611225010168951,0.13246539036212238,0.6686274509803921,0.0012057465366854796
241,6811.0,0.9044437745855676,0.984,3.5100446,0.10822218220822398,2.0,0.17821503337161948,2.0,0.22,0.00014011320607029034,23.4375,,,0.042284539715166644,0.0,0.0,3.4,,,,86.81739186042381,1.5603280025145343,3.6583186732357986,0.08180792811424831,0.4467871485943775,0.0019228797046456773
242,19776.0,2.626087224519775,0.992,6.898007,0.019255393564209626,3.0,0.019444613357054386,2.0,0.035,8.956586136216467e-05,49.21875,,,0.02988470873786408,0.0,0.0,18.5,,,,100.84249928946286,0.6666908249014689,3.4144343061255658,0.1032590849231614,0.49551569506726456,0.004500357983021377
243,51849.0,6.88511309183484,0.992,5.8262424,0.3716296484330112,398.0,0.40593738426696735,231.0,0.29,1.4278962833530562e-05,58.59375,,,0.02960519971455573,7.714710023336998e-05,0.0,13.0,17.78771727360072,2.6247636652855153,3.504109824870163,97.82964846896787,0.8220796066715556,2.991654354520612,0.0543479786125833,0.2219730941704036,0.007236371074971873
244,11420.0,1.5164803855185995,1.0,5.804659,0.30796107475137635,16.0,0.3959929083215692,11.0,0.31,0.0006082370990611986,39.84375,0.323490172624588,0.26609867215156546,0.034063047285464096,0.0,0.0,3.5999999999999996,,,,81.19133582231535,2.508724530781102,3.110584216528153,0.040132743609265324,0.21524663677130046,0.01140431625242917
245,32699.0,4.342153426100936,1.0,6.4501452,0.018781449038697058,8.0,0.014186846865800629,4.0,0.025,4.382505861200799e-05,44.53125,,,0.02966451573442613,0.00012232789993577784,0.0,8.0,19.45376653511994,2.155232093397692,1.543138931812422,96.29576279244326,0.8643073673688532,3.5237671344035775,0.0240319513300849,0.3217488789237668,0.012631686611435001
246,53083.0,7.048977960112419,0.992,5.4599943,0.18262111687382135,205.0,0.1013465798972022,72.0,0.1,3.6787948508893815e-05,37.5,,,0.02639263040898216,9.419211423619614e-05,0.0,12.55,17.394352905242613,2.4318349831735735,3.4446089623029743,98.31293045376063,0.8007137509184835,3.048129366892752,0.02780874442485222,0.2555309734513274,0.013326171475342746
247,19930.0,2.6465371351476086,0.912,7.6790657,0.0252786249044293,4.0,0.03866580068956271,4.0,0.04,2.729845554537449e-05,53.90625,,,0.019417962870045158,0.0,0.0,12.6,,,,119.80710338248538,0.22351310360177437,4.503962484299202,0.0880939308822021,0.377212389380531,0.0074687947616124415
248,2180.0,0.2894857478485593,0.752,7.6163383,0.0,0.0,0.0,0.0,,0.0008225576340373967,51.5625,,,0.03394495412844037,0.0,0.0,1.4,,,,108.48969002438655,0.40333729811090885,4.878939762025836,0.028728795103866035,0.2858649789029536,0.005992010652463382
249,478.0,0.0634743979227575,0.736,6.501488,0.0,0.0,0.0,0.0,,,44.53125,,,0.04811715481171548,0.0,0.0,0.4,,,,98.07300917588276,0.7344553332923965,3.610257005087946,0.03331968209590414,0.2655109489051095,0.012929261772568373
250,462.0,0.06134973188350202,0.808,5.6404567,0.0,0.0,0.0,0.0,,,38.671875,,,0.049783549783549784,0.0,0.0,0.2,,,,84.60740391087508,1.9306886133449628,2.991756378962905,0.032552375759633705,0.12100456621004566,0.007565688579899805
251,6037.0,0.8016630549365837,1.0,5.8687353,0.13775129670523226,2.0,0.10928613163393142,1.0,0.27,0.001518439984969092,39.84375,0.22077932953834534,0.1798135653138161,0.028325327149246314,0.00016564518800728838,0.0,3.4,,,,75.32466299306324,3.2616513617468055,3.8424638868311805,0.1036572910770269,0.4309623430962343,0.0021514189119967216
252,1129.0,0.1499217473949649,0.224,2.979221,0.0,0.0,0.0,0.0,,0.001728906731012043,21.09375,,,0.0354295837023915,0.0,0.0,1.2,,,,120.60772072146074,0.09912959584605449,7.568105041143117,0.03764343576825186,0.7018828451882845,0.0005378547279991804
253,9.0,0.0011951246470812082,0.064,10.192289,0.0,0.0,0.0,0.0,,,4.6875,,,0.1111111111111111,0.0,0.0,0.0,,,,,,,,,
254,4387.0,0.5825568696383622,0.272,5.7493505,0.0,0.0,0.0,0.0,0.195,0.0005424474166779498,42.1875,,,0.028493275586961478,0.0,0.0,5.6,,,,105.63633740627226,0.4186779907279662,6.320018989625439,0.14767755415857023,0.7981171548117155,0.0005890789878086262
255,22603.0,3.0014891553307272,1.0,4.1460886,0.06387328228383615,13.0,0.06868968002774012,9.0,0.085,7.76028973797257e-05,28.125,,,0.02782816440295536,0.00017696765916028846,0.0,7.6,16.16337691377339,2.304928288959332,1.8223400430545489,126.55419258179478,0.08355759429338845,4.998196621496168,0.081911022491774,0.8425373134328358,0.007009829280910502
256,467.0,0.062013690020769355,0.816,5.1301665,0.0,0.0,0.0,0.0,,,35.15625,,,0.04068522483940043,0.0,0.0,0.4,,,,84.90170317437057,2.0033904553475,2.805612277058274,0.023953753724472643,0.23880597014925373,0.013897451705713111
257,3708.0,0.49239135459745775,1.0,5.128145,0.18256965749769127,1.0,0.3274778084507741,1.0,,0.00044024172076346157,32.8125,0.26598280668258667,0.2431548774242397,0.03317152103559871,0.0,0.0,2.0,,,,90.97869575708854,1.2531081850536616,3.4013821427400104,0.09172638587081897,0.6201492537313433,0.005147439213657527
258,185.0,0.0245664510788915,0.656,5.7659755,0.0,0.0,0.0,0.0,,,42.1875,,,0.005405405405405406,0.0,0.0,0.2,,,,121.04094346135084,0.12932596686335168,4.379661407443252,0.04733661804057253,0.18396226415094338,0.0018445522538912472
259,472.0,0.0626776481580367,0.88,6.169009,0.0,0.0,0.0,0.0,,,42.1875,,,0.02754237288135593,0.0,0.0,0.4,,,,75.55746537131272,3.570986365452736,3.342537650343047,0.027675914230900007,0.2730627306273063,0.010252852297255628
260,11361.0,1.508645679498845,0.376,5.973956,0.11668799630520338,6.0,0.12443052416974942,4.0,0.19,0.0019175583508156929,42.1875,,,0.026054044538332894,8.802042073761112e-05,0.0,12.75,,,,101.795179076034,0.723757909735526,4.187088519316872,0.1296985485830573,0.8648648648648649,0.00806282172497111
261,72.0,0.009560997176649665,0.192,4.3841834,0.0,0.0,0.0,0.0,,,30.46875,,,0.041666666666666664,0.0,0.0,0.0,,,,612049335722612.0,,3.996179413339278,0.11134628940305835,0.15942028985507245,0.0011579901319101803
262,83.0,0.011021705078637808,0.392,5.0546103,0.0,0.0,0.0,0.0,,,35.15625,,,0.04819277108433735,0.0,0.0,0.2,,,,1601061936562624.0,,2.864149594537305,0.06344678952286421,0.12974683544303797,0.0035530692470517084
263,129.0,0.017130119941497317,0.544,4.7737145,0.0,0.0,0.0,0.0,,,32.8125,,,0.046511627906976744,0.0,0.0,0.2,,,,216.548464450782,1.0494610817947898e-05,3.8386364580578953,0.15651924225231315,0.49798387096774194,0.004480558930741191
264,6503.0,0.8635439533298996,0.696,9.204087,1.2465216861864055,21.0,1.0,12.0,,0.0002825994036204029,30.46875,,,0.0296786098723666,0.00015377518068583732,0.0,11.149999999999999,,,,110.96218411209331,0.27692810418237906,4.9143431512036875,0.1354707793726851,0.5701133144475921,0.00238416087902975
265,319.0,0.04236052915765615,0.856,4.4169564,0.0,0.0,0.0,0.0,,,28.125,,,0.16614420062695925,0.03134796238244514,0.0,0.2,,,,91.67808621007309,1.3941368235963298,3.4368470400373012,0.10000924316825749,0.5533333333333333,0.0032225063938618927
266,789.0,0.10477259406078591,0.168,5.927416,4.032311230183941,1.0,0.0,0.0,,0.007968649036138295,39.84375,,,0.030418250950570342,0.0,0.0,0.6,,,,117.93781816227126,0.2300168630156392,5.787967366899414,0.061398354462856346,0.6692399049881235,0.0016181229773462784
267,11.0,0.0014607079019881431,0.048,5.028014,0.0,0.0,0.0,0.0,,,35.15625,,,0.0,0.0,0.0,0.0,,,,149803210415792.0,,3.483291213469357,0.02020383506019516,0.0,0.0004253828445601041
268,11806.0,1.5677379537156382,0.6,10.493037,0.018009534766296884,1.0,0.027389641509164897,1.0,0.055,0.00013797421989673167,72.65625,,,0.027782483482974758,0.0,0.0,10.75,,,,117.20982723349776,0.19079758204441077,5.274125934600935,0.17278264524619136,0.8966745843230404,0.0028447645892055538
269,62.0,0.008233080902114989,0.08,4.9934,0.0,0.0,0.0,0.0,,,35.15625,,,0.03225806451612903,0.0,0.0,0.0,,,,1581955084934976.0,,5.764521738147185,0.14949027233714712,0.1686046511627907,0.00030129557095510696
270,85.0,0.011287288333544743,0.024,5.2372146,0.0,0.0,0.0,0.0,,,18.75,,,0.047058823529411764,0.0,0.0,0.0,,,,517229198406970.56,,9.902187330241716,0.3320207206429837,0.9225352112676056,0.00020143015409406788
271,16198.0,2.150958781491268,0.608,7.4652524,2.238726911564893,234.0,1.0,128.0,,6.027367721135051e-05,49.21875,,,0.05895789603654772,0.00030868008396098284,0.0,14.95,,,,99.89625604675642,0.680127893268772,3.7926751596963397,0.06787413074109377,0.3860381861575179,0.00983717774762551
272,1344.0,0.1784719472974604,0.96,5.168615,1.3896630634197278,1.0,1.0,1.0,,0.0020468046831039876,35.15625,0.33249950408935547,0.2465396672487259,0.09598214285714286,0.005952380952380952,0.0,0.8,,,,69.5477154108827,4.360902110367823,2.4728285250852275,0.07246807549750788,0.3233890214797136,0.00975889781859931
273,12898.0,1.7127464108948247,0.944,7.529329,0.30178197902467696,20.0,0.35850187480543017,13.0,,6.986842506310941e-05,49.21875,,,0.060241897968677315,0.0,0.0,6.6,,,,91.86695575416984,1.099007516001264,3.262407949342479,0.08183392702684586,0.44749403341288785,0.012890094979647219
274,87.0,0.011552871588451679,0.288,6.3766413,0.0,0.0,0.0,0.0,,,44.53125,,,0.09195402298850575,0.011494252873563218,0.0,0.2,,,,293014868258073.94,,3.575050052386345,0.06793165634915675,0.0798611111111111,0.0023922240128928284
275,19137.0,2.541233374577009,0.992,6.5688553,0.27417025081941815,40.0,0.1808585360403312,16.0,0.18,0.00017935319656874123,46.875,,,0.039870408109944085,0.00010450958875476824,0.0,5.0,18.496009813031378,2.3127228990966997,2.7524676542179303,107.92591606746693,0.40802970646736725,2.007629613658394,0.027192672099886357,0.3712121212121212,0.035732943266116396
276,5150.0,0.683876881385358,0.992,6.1365075,0.09464411044680317,1.0,0.153793693436046,1.0,0.165,8.204730655785844e-05,42.1875,,,0.030485436893203884,0.0,0.0,2.6,,,,103.10627392707062,0.5644975706767074,2.8558096336367074,0.041667599423519844,0.3123543123543124,0.03105736077734824
277,272.0,0.036119322667343176,0.8,5.8906264,0.0,0.0,0.0,0.0,,,39.84375,,,0.051470588235294115,0.0,0.0,0.2,,,,89.5266575822024,1.4168871769231517,2.5362378013064553,0.02812629606215594,0.1630901287553648,0.015460223200573359
278,14830.0,1.969299835134924,1.0,2.240655,2.248495257363136,197.0,1.0,105.0,,6.421832057990367e-05,14.0625,0.7199119329452515,0.4551386684179306,0.10492245448415374,0.004180714767363453,0.0,5.8,33.52150947061318,5.334088386438484,5.489754253164721,80.38341870407692,2.488431251315486,2.299740266812156,0.08477515212772667,0.4345372460496614,0.010123469708067385
279,1176.0,0.15616295388527787,0.984,5.8120785,0.0,0.0,0.0,0.0,,0.016580873945909708,39.84375,0.31007909774780273,0.21416366994380948,0.04846938775510204,0.0,0.0,0.6,,,,93.85395817323993,1.040591639460901,2.222191132790582,0.06715996244487639,0.3333333333333333,0.040878696061017655
280,32342.0,4.294746815100048,0.952,11.510167,0.009599183582174042,4.0,0.0072255568167759465,2.0,0.02,2.939300151613895e-05,79.6875,,,0.027672994867355142,0.0,0.0,10.8,13.305827576088177,1.8441611514088911,2.318284651984988,119.11795247432738,0.18771392684781002,3.717475140307087,0.07169008735435217,0.5442890442890443,0.021314387211367674
281,445.0,0.05909227421679307,0.232,11.686104,0.0,0.0,0.0,0.0,,,82.03125,,,0.07191011235955057,0.0,0.0,0.35000000000000003,,,,110.28489657400483,0.3027451070555784,5.657102513649606,0.15972671544431394,0.7689873417721519,0.0018740239458615304
282,74.0,0.0098265804315566,0.352,4.220118,0.0,0.0,0.0,0.0,,,28.125,,,0.08108108108108109,0.013513513513513514,0.0,0.0,,,,280190591593684.0,,2.7732871594857658,0.04540431841405059,0.08076923076923077,0.002415702063412179
283,88.0,0.011685663215905145,0.088,10.577226,0.0,0.0,0.0,0.0,,,73.828125,,,0.06818181818181818,0.0,0.0,0.0,,,,37654631090852.805,,6.64980909674444,0.10854061106662595,0.6066666666666667,0.003249370277078086
284,22.0,0.0029214158039762863,0.08,10.193993,0.0,0.0,0.0,0.0,,,73.828125,,,0.045454545454545456,0.0,0.0,0.0,,,,6183373056662167.0,,6.514217505604492,0.16043450039066018,0.3055555555555556,0.00025045081146062915
285,9607.0,1.275729164945463,1.0,6.795484,2.583783233116295,95.0,1.0,48.0,,8.999273816759202e-05,46.875,,,0.06828354324971375,0.0005204538357447694,0.0,4.2,,,,87.89237474272551,1.5436362562471173,4.553832229215889,0.10977109346209164,0.6589285714285714,0.0038100208768267222
286,245.0,0.032533948726099556,0.16,9.970059,0.0,0.0,0.0,0.0,,,67.96875,,,0.11836734693877551,0.0,0.0,0.15000000000000002,,,,130.50086983722753,0.07483882996086412,5.916828518478123,0.08174972838017895,0.6770334928229665,0.0037279133898478196
287,11397.0,1.5134261780871698,1.0,5.2576475,6.068154130480868,314.0,1.0,190.0,,0.0001079175664046791,35.15625,,,0.07282618232868299,0.0007019391067824867,0.0,5.2,,,,69.97566990315721,4.945140336410697,3.5433738186440302,0.11506289000487144,0.6097417840375586,0.004674117401295174
288,150.0,0.019918744118020134,0.416,2.5270882,892.5149935378978,8.0,1.0,7.0,,,21.09375,,,0.38,0.006666666666666667,0.0,0.2,,,,62.30252558748504,10.583387589520314,3.77462385947358,0.15429193028732438,0.775390625,0.0006837520259319287
289,1648.0,0.21884060204331454,0.672,5.962489,48.06146233626724,52.0,1.0,7.0,,0.001879957714150913,37.5,,,0.28822815533980584,0.00849514563106796,0.0,1.2,,,,27.668623945413685,19.897288292684955,2.7951343847138808,0.13216907330784644,0.7103896103896103,0.0053822152886115445
290,1586.0,0.21060752114119957,0.656,7.7822623,13.971071700262987,14.0,1.0,4.0,,0.00035982269149732705,56.25,,,0.1235813366960908,0.0,0.0,1.2,,,,60.82047430608311,5.999489105286783,4.181865742722793,0.10917555066649148,0.7145030425963489,0.004549279478279163
291,132.0,0.01752849482385772,0.536,3.3392353,0.0,0.0,0.0,0.0,,,23.4375,,,0.09090909090909091,0.0,0.0,0.2,,,,155.18311184590783,0.029912550917585,2.41129404586193,0.025712684552660462,0.10148514851485149,0.005707647237094656
292,13352.0,1.773033809758699,1.0,4.330899,3.5905054051946412,255.0,1.0,122.0,,4.076461859999232e-05,28.125,0.38517114520072937,0.40093833804130546,0.06448472139005393,0.000524266027561414,0.0,5.2,,,,61.88536057234893,5.898284268657667,2.6189935520798286,0.0718188629486341,0.36883116883116884,0.011440457618304731
293,4320.0,0.5736598305989798,0.416,8.0385685,0.4035169784152098,3.0,0.22767921824413884,1.0,,0.0006835907514193765,56.25,,,0.05810185185185185,0.000462962962962963,0.0,3.8,,,,87.1715277074468,1.4503865310244815,4.404346623877434,0.12845307357952992,0.7322443181818182,0.0035758706467661694
294,9071.0,1.2045528526304043,0.944,5.96114,0.21354812269611373,7.0,0.2635268086964615,5.0,0.31,0.00036354149444626886,42.1875,,,0.05170323007386176,0.0007716900011024143,0.0,5.4,,,,82.27310190768527,1.9934911924999645,3.359242323291689,0.08560457970544987,0.5809659090909091,0.00857690713101161
295,10368.0,1.3767835934375516,1.0,1.4452066,1.0508254646229422,45.0,0.7012084323677132,13.0,0.185,0.00015513567080572012,14.0625,0.8420613408088684,0.6582370281219476,0.09288194444444445,0.0028935185185185184,0.0,4.0,,,,44.27097855333191,7.78474454767599,1.5116984154527882,0.09343662721707864,0.3038194444444444,0.012741968698517299
296,6543.0,0.8688556184280383,0.984,5.7399077,0.29317316497569773,5.0,0.09220348211755602,1.0,0.205,0.0006842496805294824,39.84375,,,0.04355800091701054,0.0,0.0,2.8,,,,99.95124140660793,0.7129593396277455,3.753912547040084,0.0648775811952471,0.5378086419753086,0.0073894171145101285
297,3359.0,0.4460470766161976,1.0,4.429374,11.123924905905401,50.0,1.0,33.0,,0.0006406144934833002,28.125,0.5419019460678101,0.5124804526567457,0.2875855909496874,0.0253051503423638,0.0,1.8,,,,44.440567634114316,14.010514675977651,1.922541517050098,0.12436725473950547,0.6036931818181818,0.010364842454394693
